Transportista,Patente,Date,bajo,medio,alto,distance,raev,dev
Vía Carrión,TFYJ44,2024-10-20,6.2,8.2,10.3,733.2659774226047,15.919081644716124,9.855701431495236
Coseducam,TCLY63,2024-10-20,6.2,8.2,10.3,517.6898358442312,11.154408928033485,7.162275260673214
Coseducam,TJCC40,2024-10-20,6.2,8.2,10.3,522.9093259418084,15.115053413041466,9.632455060094387
Coseducam,SXSW22,2024-10-20,6.2,8.2,10.3,306.6686902677281,9.764769260543812,6.452452947713318
Coseducam,TCYZ29,2024-10-20,6.2,8.2,10.3,339.85223540548213,11.973610370900236,7.592363702507442
Coseducam,SRGS63,2024-10-20,6.2,8.2,10.3,274.56515858344915,4.215928719040178,2.819884757414149
Coseducam,SJFS45,2024-10-20,6.2,8.2,10.3,96.52112648300805,0.0,0.0
Coseducam,TBLK38,2024-10-20,6.2,8.2,10.3,365.0493258220196,8.915907111437505,5.609069976531085
Coseducam,TDCV29,2024-10-20,6.2,8.2,10.3,304.78559794438735,9.892859801399863,5.6793747075544365
Coseducam,SXCF12,2024-10-20,6.2,8.2,10.3,517.2685134098798,9.900194212910096,6.516103900084612
Coseducam,TCGW75,2024-10-20,6.2,8.2,10.3,348.5966585835735,2.1478100090807337,1.4626876394116477
Vía Carrión,SKPJ27,2024-10-20,6.2,8.2,10.3,768.4516964773807,12.950809703421447,10.37387017048312
Vía Carrión,PJJT97,2024-10-20,6.2,8.2,10.3,568.2080548046429,17.987925468165688,11.779091323783955
Coseducam,SCRW86,2024-10-20,6.2,8.2,10.3,393.7751337819827,9.19484986327183,5.513122192792263
Vía Carrión,SXCG35,2024-10-20,6.2,8.2,10.3,607.6054270149237,6.660337506439197,4.604286711407551
Coseducam,TDCV27,2024-10-20,6.2,8.2,10.3,524.595773508847,14.8493226648959,8.87764039949424
Coseducam,SRTG68,2024-10-20,6.2,8.2,10.3,40.392169624020866,2.7130970059301744,1.4949590902233896
Coseducam,TBYZ89,2024-10-20,6.2,8.2,10.3,280.88116815219456,6.754546729117447,4.713610221479193
Coseducam,TJPJ24,2024-10-20,6.2,8.2,10.3,501.4048611773492,8.711770461520679,6.241735063498028
Vía Carrión,TFYJ45,2024-10-20,6.2,8.2,10.3,600.2950317249034,4.086461444468581,2.7049484345424184
Coseducam,TBRS46,2024-10-20,6.2,8.2,10.3,273.3917116617008,3.1720319005594932,2.0196975334113625
Vía Carrión,RLWB14,2024-10-20,6.2,8.2,10.3,642.2301224278511,7.794617856709522,5.022983566143603
Coseducam,TBRS43,2024-10-20,6.2,8.2,10.3,295.70613953206043,9.702438953341384,6.541121834191317
Coseducam,TFPB74,2024-10-20,6.2,8.2,10.3,471.2380616690657,17.75562627018109,10.756004077876486
Coseducam,TBGK50,2024-10-20,6.2,8.2,10.3,456.5060161117057,9.172562922516171,6.1618425029624975
Coseducam,SWSW95,2024-10-20,6.2,8.2,10.3,515.2018047783599,7.518015989740901,4.456235942016471
Coseducam,PLPF60,2024-10-20,6.2,8.2,10.3,338.76285485423375,7.813476257573215,5.218697178395334
Coseducam,TJYV60,2024-10-20,6.2,8.2,10.3,524.1880082236404,20.476274974422125,12.97205555288208
Coseducam,TJCC39,2024-10-20,6.2,8.2,10.3,516.5068875034401,25.20897916367272,15.660317420228596
Coseducam,TCGX23,2024-10-20,6.2,8.2,10.3,430.73485736827706,12.752803875774408,8.732505181060125
Coseducam,RLWB42,2024-10-20,6.2,8.2,10.3,446.50243067678633,11.382903952119046,6.9366671108250015
Coseducam,TFHH29,2024-10-20,6.2,8.2,10.3,517.2681710555644,8.803854879390766,5.654261054178092
Coseducam,TFDS53,2024-10-20,6.2,8.2,10.3,411.89033622299416,5.397507179967841,3.719765144256397
Coseducam,SZBK92,2024-10-20,6.2,8.2,10.3,420.0052231394602,10.756376714839599,6.7810502786454725
Coseducam,TBGK52,2024-10-20,6.2,8.2,10.3,532.2502933076386,13.113143537928073,8.485176974942329
Coseducam,TJZC78,2024-10-20,6.2,8.2,10.3,525.2628551845964,10.384108210440061,6.428130310543697
Coseducam,SJFS43,2024-10-20,6.2,8.2,10.3,19.069023540166427,0.0,0.0
Coseducam,TBYZ88,2024-10-20,6.2,8.2,10.3,405.05435327679845,9.266695644171778,6.131800936161027
